Город,Страна,lat,lng,Население,Аб2,Аб3
Форт Майерс,Соединенные Штаты,26.6195,-81.8303,87103.0,US,USA
Сьюдад-де-Атликско,Мексика,18.сен,-98.45,86690.0,MX,MEX
Чигуаянте,Чили,-36.9167,-73.0167,85863.0,CL,CHL
Кампана,Аргентина,-34.1667,-58.9167,86860.0,AR,ARG
Динчэн,Китай,19.6819,110.3637,86367.0,CN,CHN
Тунчэн,Китай,19.3633,110.0978,86474.0,CN,CHN
Губкин,Россия,51.2833,37.55,86780.0,RU,RUS
Карденас,Куба,23.0428,-81.2036,86700.0,CU,CUB
Яофэн,Китай,35.1395,111.2174,86435.0,CN,CHN
Кхариан,Пакистан,32.811,73.865,85765.0,PK,PAK
Добрый год,Соединенные Штаты,33.2613,-112.3622,86840.0,US,USA
Алст,Бельгия,50.9383,4.0392,85715.0,BE,BEL
Дюшенг,Китай,23.2445,111.5342,85659.0,CN,CHN
Каттаган,Узбекистан,40.2,64.9167,86745.0,UZ,UZB
Гарулия,Индия,22.82,88.37,85336.0,IN,IND
Тумако,Колумбия,янв.81,-78.81,86713.0,CO,COL
Кеффи,Нигерия,авг.64,июл.33,85911.0,NG,NGA
Готенба,Япония,35.3086,138.935,86334.0,JP,JPN
Новотроицк,Россия,51.2009,58.2983,86474.0,RU,RUS
капаклД±,Турция,41.3333,27.9667,85898.0,TR,TUR
Чиклана-де-ла-Фронтера,Испания,36.4167,-6.15,86306.0,ES,ESP
Париаман,Индонезия,-0.6261,100.1206,85485.0,ID,IDN
Тагайтай,Филиппины,14.янв,120.9333,85330.0,PH,PHL
Кабиао,Филиппины,15.25,120.85,85862.0,PH,PHL
Далтон,Соединенные Штаты,34.769,-84.9712,86628.0,US,USA
Сан-Антонио,Чили,-33.5809,-71.6132,86239.0,CL,CHL
Убатуба,Бразилия,-23.4339,-45.0708,86392.0,BR,BRA
Камеока,Япония,35.0133,135.5725,86112.0,JP,JPN
Кларкстаун,Соединенные Штаты,41.1319,-73.966,86488.0,US,USA
Гуасавито,Мексика,25.5655,-108.4718,86361.0,MX,MEX
Тревизо,Италия,45.6722,дек.22,84954.0,IT,ITA
Чиктовага,Соединенные Штаты,42.9082,-78.7466,86477.0,US,USA
Шаошаньчжань,Китай,27.91,112.48,86036.0,CN,CHN
Олаварраа,Аргентина,-36.9,-60.3333,86320.0,AR,ARG
Констанц,Германия,47.6633,9.1753,84760.0,DE,DEU
Лунчуань,Китай,25.1945,101.2759,86060.0,CN,CHN
Брайан,Соединенные Штаты,30.6657,-96.3668,86276.0,US,USA
Кайдзука,Япония,34.4378,135.3586,84356.0,JP,JPN
Жезказган,Казахстан,47.7833,67.7,86227.0,KZ,KAZ
Хаурсгун,Иран,32.6536,51.755,86063.0,IR,IRN
Бугульма,Россия,54.5333,52.7833,86085.0,RU,RUS
ЩГ«кино,Россия,54.0143,37.5143,86088.0,RU,RUS
Потискум,Нигерия,ноя.04,11.авг,86002.0,NG,NGA
Гуинобатан,Филиппины,13.1833,123.6,85786.0,PH,PHL
Уокиган,Соединенные Штаты,42.3697,-87.8716,86075.0,US,USA
Ига,Япония,34.7686,136.13,85883.0,JP,JPN
Лонхуа,Китай,41.317,117.7264,85697.0,CN,CHN
Андерсон,Соединенные Штаты,40.0891,-85.6893,85992.0,US,USA
Китакэ?риямахе?,Япония,34.6494,135.7828,84007.0,JP,JPN
Усику,Япония,35.9833,140.15,84505.0,JP,JPN
Северный Ванкувер,Канада,49.3641,-123.0066,85935.0,CA,CAN
Редвуд-Сити,Соединенные Штаты,37.5026,-122.2252,85925.0,US,USA
Какоал,Бразилия,-11.4386,-61.4472,85893.0,BR,BRA
ЧикинвирГЎ,Колумбия,май.75,-73.8164,85274.0,CO,COL
Гуанамби,Бразилия,-14.2228,-42.7808,85797.0,BR,BRA
Ейск,Россия,46.7106,38.2778,85760.0,RU,RUS
Секимачи,Япония,35.4958,136.9178,85636.0,JP,JPN
Пылесос,Соединенные Штаты,33.3754,-86.8064,85768.0,US,USA
Кашуэйра-ду-Сул,Бразилия,-30.0394,-52.8953,85712.0,BR,BRA
Броссар,Канада,45.4667,-73.45,85721.0,CA,CAN
Чита,Япония,35.0,136.8667,83881.0,JP,JPN
Филлинген-Швеннинген,Германия,48.0603,авг.86,85181.0,DE,DEU
Батараса,Филиппины,авг.67,117.6167,85439.0,PH,PHL
Кинешма,Россия,57.45,42.15,83871.0,RU,RUS
Озерный лес,Соединенные Штаты,33.6606,-117.6712,85531.0,US,USA
Дапитан,Филиппины,авг.49,123.4243,85202.0,PH,PHL
Каратинга,Бразилия,-19.79,-42.1389,85239.0,BR,BRA
Напа,Соединенные Штаты,38.2976,-122.3011,85239.0,US,USA
Торренте,Испания,39.4365,-0.4679,84025.0,ES,ESP
Такаяма,Япония,36.1458,137.2522,85199.0,JP,JPN
Дерри,Великобритания,54.9917,-7.3417,85016.0,GB,GBR
Луаньчэн,Китай,37.8846,114.6523,84068.0,CN,CHN
Суменеп,Индонезия,-7.0049,113.8496,84656.0,ID,IDN
Валвизбаай,Намибия,-22.9494,14.5069,85000.0,,NAM
Морияма,Япония,35.0589,135.9944,83567.0,JP,JPN
Июнь,Аргентина,-34.5939,-60.9464,85007.0,AR,ARG
Коргас,Китай,44.1256,80.4144,85000.0,CN,CHN
Раскаяние,Канада,45.7333,-73.4667,84965.0,CA,CAN
Ларго,Соединенные Штаты,27.9088,-82.7711,84948.0,US,USA
Блумингтон,Соединенные Штаты,44.8306,-93.3151,84943.0,US,USA
Мергель,Германия,51.6667,7.1167,83941.0,DE,DEU
Сьюдад-Манте,Мексика,22.7333,-98.95,84787.0,MX,MEX
Якобина,Бразилия,-11.1808,-40.5178,84811.0,BR,BRA
Наукоград в штате Оз,Филиппины,15.7167,120.9,84308.0,PH,PHL
АруджГЎ,Бразилия,-23.3967,-46.3211,83939.0,BR,BRA
Гид,Камерун,сен.42,13.9486,84647.0,CM,CMR
Сенадор Канедо,Бразилия,-16.7078,-49.0928,84443.0,BR,BRA
Паракату,Бразилия,-17.2217,-46.875,84718.0,BR,BRA
Йокотемати,Япония,39.3137,140.5666,84556.0,JP,JPN
Сабаналарга,Колумбия,окт.63,-74.9236,84410.0,CO,COL
Байс,Филиппины,сен.07,123.1213,84317.0,PH,PHL
Джонс-Крик,Соединенные Штаты,34.0333,-84.2027,84579.0,US,USA
Ньюпорт-Бич,Соединенные Штаты,33.6151,-117.8669,84534.0,US,USA
Вилла Альтаграсия,Доминиканская Республика,18.67,-70.17,84312.0,DO,DOM
Дмитров,Россия,56.35,37.5333,84408.0,RU,RUS
Болинао,Филиппины,16.3333,119.8833,83979.0,PH,PHL
Серра-Тальхада,Бразилия,-7.9858,-38.2958,84352.0,BR,BRA
Эль Эхидо,Испания,36.7831,-2.8167,84005.0,ES,ESP
Парк де Минас,Бразилия,-19.86,-44.6078,84215.0,BR,BRA
Миссия,Соединенные Штаты,26.2041,-98.3251,84331.0,US,USA
ЧигородГі,Колумбия,июл.97,-76.6814,84183.0,CO,COL
Кукай,Малайзия,апр.32,103.4479,82425.0,MY,MYS
Эль Милия,Алжир,36.75,июн.67,83931.0,DZ,DZA
Lqoliaa,Марокко,30.2942,-9.4544,83235.0,MA,MAR
ceretГ©,Колумбия,авг.67,-75.7911,83917.0,CO,COL
Черви,Германия,49.6319,авг.53,83330.0,DE,DEU
Троянский,Соединенные Штаты,42.5818,-83.1457,84092.0,US,USA
Мадера,Соединенные Штаты,36.9631,-120.0782,84086.0,US,USA
Джоплин,Соединенные Штаты,37.0758,-94.5018,84048.0,US,USA
Железногорск,Россия,56.25,93.5333,83857.0,RU,RUS
Талавера-де-ла-Рейна,Испания,39.9583,-4.8328,83477.0,ES,ESP
Торревьеха,Испания,37.9778,-0.6833,82842.0,ES,ESP
Холмы Чино,Соединенные Штаты,33.9508,-117.7253,83853.0,US,USA
Нантингкун,Китай,20.804,110.0826,82944.0,CN,CHN
Сирсилла,Индия,18.38,78.83,83186.0,IN,IND
Понтеведра,Испания,42.4333,-8.6333,83114.0,ES,ESP
Чилливак,Канада,49.1577,-121.9509,83788.0,CA,CAN
Сан-Антонио,Филиппины,15.3833,120.8,83060.0,PH,PHL
Юрга,Россия,55.7333,84.9,81759.0,RU,RUS
Арона,Испания,28.0996,-16.6809,82563.0,ES,ESP
vГ©lez-mГЎlaga,Испания,36.7833,-4.1,82967.0,ES,ESP
Фредрикстад,Норвегия,59.2167,окт.95,83193.0,NO,NOR
Мако,Филиппины,июл.19,125.8553,83237.0,PH,PHL
Миан Чаннун,Пакистан,30.4397,72.3544,82586.0,PK,PAK
Реддич,Великобритания,52.3,-1.9333,81919.0,GB,GBR
Тайтай,Филиппины,окт.67,119.5167,83357.0,PH,PHL
Серринья,Бразилия,-11.6639,-39.0078,83275.0,BR,BRA
Вутяньцунь,Китай,23.1852,116.4757,82986.0,CN,CHN
Сантана-ду-Ливраменто,Бразилия,-30.8908,-55.5328,83324.0,BR,BRA
Сиатон,Филиппины,9.0667,123.0333,83082.0,PH,PHL
Туальный,Индонезия,-5.6385,132.745,82955.0,ID,IDN
Со Себастьяном,Бразилия,-23.804,-45.4051,83020.0,BR,BRA
Бхалвал,Пакистан,32.2653,72.9028,82556.0,PK,PAK
СеропГ©dica,Бразилия,-22.7439,-43.7078,82892.0,BR,BRA
Уи,Китай,37.7965,115.892,82526.0,CN,CHN
Марсала,Италия,37.7981,дек.42,82802.0,IT,ITA
Франклин,Соединенные Штаты,35.9216,-86.8525,83097.0,US,USA
Коари,Бразилия,-4.085,-63.1408,83078.0,BR,BRA
Вельберт,Германия,51.34,7.0416,81984.0,DE,DEU
Мельбурн,Соединенные Штаты,28.1085,-80.6627,83029.0,US,USA
Поццуоли,Италия,40.8231,14.1222,81141.0,IT,ITA
Алайй,Ирак,32.1742,46.0433,82900.0,IQ,IRQ
Мабинай,Филиппины,сен.33,122.9167,82953.0,PH,PHL
Порт-Гурон,Соединенные Штаты,42.9822,-82.4387,82970.0,US,USA
Танджей,Филиппины,сен.67,123.1583,82642.0,PH,PHL
Г‡айД±рова,Турция,40.8265,29.3745,82494.0,TR,TUR
Каратепе,Турция,40.6883,30.0144,82551.0,TR,TUR
Сьедянь,Китай,35.419,110.8281,81386.0,CN,CHN
Накацу,Япония,33.5983,131.1883,82714.0,JP,JPN
Бхактапур,Непал,27.6722,85.4278,81748.0,NP,NPL
Колония,Соединенные Штаты,42.7396,-73.7874,82849.0,US,USA
Барра-ду-Корда,Бразилия,-5.5058,-45.2428,82830.0,BR,BRA
SHД«rvДЃn,Иран,37.3967,57.9294,82790.0,IR,IRN
Спрингфилд,Соединенные Штаты,39.9297,-83.7957,82820.0,US,USA
Соррисо,Бразилия,-12.545,-55.7108,82792.0,BR,BRA
Стоктон-он-Тис,Великобритания,54.57,-1.32,82729.0,GB,GBR
Кунцзячжуан,Китай,40.7536,114.7237,81909.0,CN,CHN
Калатрава,Филиппины,10.июн,123.4833,82540.0,PH,PHL
Крузейро-ду-Сул,Бразилия,-7.6308,-72.67,82622.0,BR,BRA
Ктойя,Индия,23.65,88.13,81615.0,IN,IND
ЕЊМихачиман,Япония,35.1283,136.0981,81545.0,JP,JPN
Муроран,Япония,42.3153,140.9736,81580.0,JP,JPN
Эль Эстор,Гватемала,15.5333,-89.35,82491.0,GT,GTM
Шикокуче«ЕЌ,Япония,33.9808,133.5492,82320.0,JP,JPN
Кармен,Филиппины,июл.06,125.7064,82018.0,PH,PHL
Патрокнио,Бразилия,-18.9439,-46.9928,82471.0,BR,BRA
Внимательный,Германия,52.2883,авг.67,81682.0,DE,DEU
Зефирхиллс,Соединенные Штаты,28.2408,-82.1796,82476.0,US,USA
Кампо -Муро,Бразилия,-24.0458,-52.3828,82354.0,BR,BRA
Чайковский,Россия,56.7667,54.1167,82382.0,RU,RUS
Булакан,Филиппины,14.7928,120.8789,81232.0,PH,PHL
Бекобод,Узбекистан,40.2258,69.2292,82082.0,UZ,UZB
Кленовый хребет,Канада,49.2167,-122.6,82256.0,CA,CAN
Лувр,Бельгия,50.4778,4.1881,80986.0,BE,BEL
Гроссето,Италия,42.7722,11.1089,82036.0,IT,ITA
Святой Августин,Соединенные Штаты,29.8977,-81.31,82180.0,US,USA
Пилар,Аргентина,-34.4588,-58.9142,81120.0,AR,ARG
Сиаси,Филиппины,май.62,120.8145,81689.0,PH,PHL
Харлоу,Великобритания,51.779,0.128,82059.0,GB,GBR
Питерборо,Канада,44.3,-78.3167,82094.0,CA,CAN
Забава,Колумбия,апр.75,-74.2094,80937.0,CO,COL
Убай,Филиппины,10.056,124.4729,81799.0,PH,PHL
Хэнкоу,Китай,32.7378,108.7695,81086.0,CN,CHN
Варезе,Италия,45.8167,авг.33,80544.0,IT,ITA
Хенгело,Нидерланды,52.2656,июн.31,80683.0,NL,NLD
Кальдас,Колумбия,6.0886,-75.6361,81381.0,CO,COL
Усть-Илимск,Россия,58.0,102.6667,81976.0,RU,RUS
Флагшток,Соединенные Штаты,35.1872,-111.6195,81974.0,US,USA
Президентство Роке Сен-Пьеро,Аргентина,-26.7833,-60.45,81879.0,AR,ARG
Азов,Россия,47.1,39.4167,80721.0,RU,RUS
Лужен,Аргентина,-34.5703,-59.105,81749.0,AR,ARG
Аракрус,Бразилия,-19.82,-40.2728,81832.0,BR,BRA
Агбовилл,Кот-д'Ивуар,май.33,-4.2167,81770.0,CI,CIV
Кампо Лимпо,Бразилия,-23.2064,-46.7844,80847.0,BR,BRA
ТимГітео,Бразилия,-19.5828,-42.6439,81243.0,BR,BRA
Ватампоне,Индонезия,-4.5328,120.3334,81629.0,ID,IDN
Плезантон,Соединенные Штаты,37.6663,-121.8805,81777.0,US,USA
Синьдянь,Китай,25.3172,101.5446,81667.0,CN,CHN
Фелипе Каррильо Пуэрто,Мексика,19.5786,-88.0453,81742.0,MX,MEX
Планалтина,Бразилия,-15.4528,-47.6139,81649.0,BR,BRA
ПаранаваГ,Бразилия,-23.0728,-52.465,81590.0,BR,BRA
Шуйбянь,Китай,24.1263,112.7668,81413.0,CN,CHN
Бухи,Филиппины,13.4333,123.5167,81306.0,PH,PHL
Анапа,Россия,44.8944,37.3167,81447.0,RU,RUS
Кимицу,Япония,35.3306,139.9025,81355.0,JP,JPN
Матео,Бразилия,-21.6033,-48.3658,81439.0,BR,BRA
Дессау-Рохлау,Германия,51.8333,дек.33,81237.0,DE,DEU
Дженерал Рока,Аргентина,-39.0333,-67.5833,81534.0,AR,ARG
Атаскосита,Соединенные Штаты,29.9777,-95.1953,81557.0,US,USA
КентаЕ«,Казахстан,43.5169,68.5044,81484.0,KZ,KAZ
ItГЎ,Парагвай,-25.4833,-57.35,81084.0,PY,PRY
Маталам,Филиппины,7.0833,124.9,81355.0,PH,PHL
Вестленд,Соединенные Штаты,42.3192,-83.3805,81511.0,US,USA
Кемреддипет,Индия,18.3167,78.35,80315.0,IN,IND
Гобернадор Гельвес,Аргентина,-33.0251,-60.6337,80769.0,AR,ARG
Рыжеватый,Соединенные Штаты,47.3039,-122.2108,81464.0,US,USA
Крэнстон,Соединенные Штаты,41.7658,-71.4857,81456.0,US,USA
Янггао,Китай,21.3298,109.9177,80681.0,CN,CHN
Ламбунао,Филиппины,11.май,122.4833,81236.0,PH,PHL
Шицзи,Китай,23.5607,112.963,80773.0,CN,CHN
Сеньор ду Бонфим,Бразилия,-10.4628,-40.1908,81330.0,BR,BRA
Река Ати,Кения,-1.45,36.9833,81302.0,KE,KEN
Новоуральск,Россия,57.25,60.0833,81202.0,RU,RUS
Барили,Филиппины,10.1167,123.5333,80715.0,PH,PHL
Сан-Хосе,Филиппины,13.8772,121.105,79868.0,PH,PHL
Фолсом,Соединенные Штаты,38.6668,-121.1422,81328.0,US,USA
Сефру,Марокко,33.83,-4.83,79887.0,MA,MAR
Панцос,Гватемала,15.3986,-89.6408,81063.0,GT,GTM
Таруданнт,Марокко,30.4711,-8.8778,80149.0,MA,MAR
Капалонг,Филиппины,июл.54,125.7052,81068.0,PH,PHL
Спрингдейл,Соединенные Штаты,36.1899,-94.1574,81125.0,US,USA
Сан-Кристобаль - Верапас,Гватемала,15.365,-90.4792,80613.0,GT,GTM
Уорик,Соединенные Штаты,41.7062,-71.4334,81004.0,US,USA
Таголоанский,Филиппины,авг.33,124.75,80319.0,PH,PHL
Кашивадзаки,Япония,37.3719,138.559,80787.0,JP,JPN
Сан-Франциско,Филиппины,8.505,125.9771,80760.0,PH,PHL
Йонезава,Япония,37.9167,140.1167,80795.0,JP,JPN
Болпур,Индия,23.67,87.72,80210.0,IN,IND
Малапатан,Филиппины,май.67,125.2833,80741.0,PH,PHL
Лос-Патио,Колумбия,июл.42,-72.505,80235.0,CO,COL
Полоцк,Беларусь,55.4833,28.авг,80795.0,BY,BLR
Мейбод,Иран,32.25,54.0167,80712.0,IR,IRN
Иподжука,Бразилия,-8.4,-35.0625,80637.0,BR,BRA
Килифи,Кения,-3.6333,39.85,80339.0,KE,KEN
Гамагири,Япония,34.8264,137.2196,79292.0,JP,JPN
Акируно,Япония,35.7289,139.2942,79600.0,JP,JPN
Фармингтон-Хиллз,Соединенные Штаты,42.486,-83.3771,80612.0,US,USA
Эчизен,Япония,35.9033,136.1692,80264.0,JP,JPN
Сокчо,Южная Корея,38.2083,128.5911,79846.0,KR,KOR
Нейманстер,Германия,54.0714,сен.99,79487.0,DE,DEU
гумлДЃ,Индия,23.0444,84.5417,80129.0,IN,IND
Нордерштедт,Германия,53.7064,10.0103,79159.0,DE,DEU
Некохея,Аргентина,-38.55,-58.7333,80478.0,AR,ARG
Арсуз,Турция,36.4128,35.8867,79782.0,TR,TUR
Ньюарк,Соединенные Штаты,40.0705,-82.4251,80451.0,US,USA
Уильямсбург,Соединенные Штаты,37.2692,-76.7076,80441.0,US,USA
Симдега,Индия,22.62,84.52,80129.0,IN,IND
Бруклинский парк,Соединенные Штаты,45.1112,-93.3505,80389.0,US,USA
Увинза,Танзания,-5.1036,30.3911,80350.0,TZ,TZA
Ткестен,Иран,36.0694,49.6958,80299.0,IR,IRN
Коттедж«дем,Индия,17.55,80.63,79819.0,IN,IND
Ливингстон,Гватемала,15.83,-88.75,80249.0,GT,GTM
Мбалмайо,Камерун,мар.52,ноя.22,80206.0,CM,CMR
Намсан,Северная Корея,42.2304,129.2304,80146.0,KP,PRK
Зарзис,Тунис,33.5,11.1167,80000.0,TN,TUN
Андауайлас,Перу,-13.6575,-73.3833,80000.0,PE,PER
Джамшоро,Пакистан,25.4283,68.2822,80000.0,PK,PAK
Хаттисбург,Соединенные Штаты,31.3074,-89.317,80138.0,US,USA
Александрия,Соединенные Штаты,31.2923,-92.4702,80129.0,US,USA
Высокий Сафар,Ирак,36.3792,42.4497,80000.0,IQ,IRQ
Меганга,Камерун,июн.72,14.2947,80100.0,CM,CMR
Джаен,Филиппины,15.3333,120.9,79189.0,PH,PHL
Балад,Ирак,34.0147,44.1456,80000.0,IQ,IRQ
Поблажка,Филиппины,06.авг,124.6333,79739.0,PH,PHL
Манреса,Испания,41.7264,янв.92,78192.0,ES,ESP
Вила-ду-Конде,Португалия,41.35,-8.75,79533.0,PT,PRT
Натори-ши,Япония,38.1717,140.8919,79250.0,JP,JPN
Сан-Карлос-дель-Сулия,Венесуэла,9.0,-71.95,80000.0,VE,VEN
Коктокай,Китай,47.0004,89.4666,80000.0,CN,CHN
Капенда Камулемба,Ангола,-9.4233,18.4328,80000.0,AO,AGO
Фьюмичино,Италия,41.7667,дек.33,79630.0,IT,ITA
Флоренция,Соединенные Штаты,34.8303,-87.6654,79964.0,US,USA
Мабай,Китай,23.0188,104.3929,79534.0,CN,CHN
Цзиньхэ,Китай,22.7815,103.228,79658.0,CN,CHN
Бен Гардан,Тунис,33.1389,ноя.67,79912.0,TN,TUN
Айдахо,Нигерия,7.0833,июн.75,79815.0,NG,NGA
Роблес,Филиппины,окт.35,123.0667,79492.0,PH,PHL
Баракоа,Куба,20.3444,-74.4956,79797.0,CU,CUB
Вальдоста,Соединенные Штаты,30.8502,-83.2788,79820.0,US,USA
Патикуль,Филиппины,6.0667,121.1,79564.0,PH,PHL
Плимут,Соединенные Штаты,45.0225,-93.4618,79768.0,US,USA
Цзянна,Китай,23.6128,104.3433,79448.0,CN,CHN
МаньхуаГ§u,Бразилия,-20.2581,-42.0336,79574.0,BR,BRA
Торрес Ведрас,Португалия,39.0833,-9.2667,79465.0,PT,PRT
Геда,Япония,36.1389,139.4558,78488.0,JP,JPN
Бакай,Соединенные Штаты,33.4314,-112.6429,79620.0,US,USA
Джорджтаун,Соединенные Штаты,30.6668,-97.6953,79604.0,US,USA
Ханна?,Япония,35.8519,139.3181,79169.0,JP,JPN
Альфенас,Бразилия,-21.4289,-45.9469,79481.0,BR,BRA
Мангатарим,Филиппины,15.7874,120.2921,79323.0,PH,PHL
Кадома,Зимбабве,-18.35,29.9167,79174.0,ZW,ZWE
Пиньи,Китай,35.5104,117.62,78254.0,CN,CHN
Ивамидзава,Япония,43.1961,141.7758,79361.0,JP,JPN
Бауанг,Филиппины,16.5333,120.3333,78449.0,PH,PHL
Кедровый парк,Соединенные Штаты,30.5106,-97.8196,79462.0,US,USA
Ювентино Росас,Мексика,20.65,-101.0,79214.0,MX,MEX
Вилла Марча,Аргентина,-32.4103,-63.2314,79356.0,AR,ARG
Деревни,Соединенные Штаты,28.9021,-81.9888,79372.0,US,USA
Кокомо,Соединенные Штаты,40.464,-86.1277,79351.0,US,USA
Перрис,Соединенные Штаты,33.7899,-117.2233,79291.0,US,USA
Истли,Великобритания,50.9667,-1.35,78716.0,GB,GBR
Клин,Россия,56.3339,36.7125,79168.0,RU,RUS
ozГ«rsk,Россия,55.7556,60.7028,79069.0,RU,RUS
Бахрестан,Иран,32.4881,51.7731,79023.0,IR,IRN
Хуарал,Перу,-11.5008,-77.2091,79011.0,PE,PER
Святой Иосиф,Соединенные Штаты,39.7599,-94.821,79161.0,US,USA
Пагбилао,Филиппины,13.972,121.687,78700.0,PH,PHL
Пато Бранко,Бразилия,-26.2289,-52.6708,79011.0,BR,BRA
Ориуэла,Испания,38.0856,-0.9469,78940.0,ES,ESP
Мука,Япония,36.4403,140.0131,78665.0,JP,JPN
Цветочный холмик,Соединенные Штаты,33.0344,-97.1146,79135.0,US,USA
Фарр,Соединенные Штаты,26.1685,-98.1904,79112.0,US,USA
Пототан,Филиппины,окт.95,122.6333,78298.0,PH,PHL
Сахуайо де Морелос,Мексика,20.0575,-102.7239,78477.0,MX,MEX
Елена Гира,Польша,50.9,15.7333,78335.0,PL,POL
Франсиско Бельтрао,Бразилия,-26.0808,-53.055,78943.0,BR,BRA
Телемако Борба,Бразилия,-24.3239,-50.6158,78974.0,BR,BRA
ИджуГ,Бразилия,-28.3878,-53.915,78915.0,BR,BRA
Лимай,Филиппины,14.5619,120.5983,78272.0,PH,PHL
Кох Бихр,Индия,26.3167,89.4333,77935.0,IN,IND
Майдзуру,Япония,35.45,135.3333,78730.0,JP,JPN
Кидзугава,Япония,34.7369,135.8208,78035.0,JP,JPN
Элтон,Соединенные Штаты,38.9034,-90.1523,78905.0,US,USA
Бамберг,Германия,49.8917,окт.17,77592.0,DE,DEU
Хэнбэй,Китай,23.8787,115.7309,78575.0,CN,CHN
Макабебе,Филиппины,14.9081,120.7156,78151.0,PH,PHL
Лавленд,Соединенные Штаты,40.4166,-105.0623,78877.0,US,USA
Субулуссалам,Индонезия,фев.22,98.0042,78801.0,ID,IDN
Дельменхорст,Германия,53.0506,авг.17,77607.0,DE,DEU
Эс-Сувейра,Марокко,31.513,-9.7687,77966.0,MA,MAR
Вальдеморо,Испания,40.1908,-3.6742,77587.0,ES,ESP
Тьерральта,Колумбия,8.1728,-76.0594,78770.0,CO,COL
Дондо,Мозамбик,-19.6167,34.75,78648.0,MZ,MOZ
АлД«гЕ«дарз,Иран,33.4006,49.6947,78690.0,IR,IRN
Бойнтон-Бич,Соединенные Штаты,26.5281,-80.0811,78679.0,US,USA
Арлит,Нигер,18.7333,июл.33,78651.0,NE,NER
Мое,Бразилия,-1.8839,-48.7689,78629.0,BR,BRA
Тела,Гондурас,15.7833,-87.4667,78537.0,HN,HND
Аргао,Филиппины,сен.33,123.6,78187.0,PH,PHL
Бамбан,Филиппины,15.65,120.25,78260.0,PH,PHL
Куванго,Ангола,-14.4667,16.мар,78543.0,AO,AGO
Манбидж,Сирия,36.5333,37.95,78255.0,SY,SYR
Андерсон,Соединенные Штаты,34.5211,-82.6479,78512.0,US,USA
Паттоки,Пакистан,31.0214,73.8528,77210.0,PK,PAK
Выборг,Россия,60.7092,28.7442,78457.0,RU,RUS
Диас д'Авила,Бразилия,-12.6128,-38.2969,78058.0,BR,BRA
Усолье-Сибирское,Россия,52.75,103.65,77407.0,RU,RUS
bГ©ziers,Франция,43.3476,3.219,77599.0,FR,FRA
Хассельт,Бельгия,50.9305,май.85,77651.0,BE,BEL
Джонсборо,Соединенные Штаты,35.8212,-90.6791,78394.0,US,USA
Бустос,Филиппины,14.95,120.9167,77199.0,PH,PHL
Кропоткин,Россия,45.4333,40.5667,78149.0,RU,RUS
Пиньейру,Бразилия,-2.5208,-45.0828,78162.0,BR,BRA
Арджона,Колумбия,10.255,-75.3447,78070.0,CO,COL
Ченгбин,Китай,19.9991,110.3332,77904.0,CN,CHN
Читембо,Ангола,-13.5167,16.7667,78156.0,AO,AGO
Парма,Соединенные Штаты,41.3843,-81.7286,78103.0,US,USA
Бор,Россия,56.3603,44.0592,78063.0,RU,RUS
Бодхан,Индия,18.67,77.9,77573.0,IN,IND
Нарра,Филиппины,сен.33,118.4167,77948.0,PH,PHL
Чайнаутла,Гватемала,14.7029,-90.5,77071.0,GT,GTM
Лейтон,Соединенные Штаты,41.0769,-111.9621,78014.0,US,USA
Балкаш,Казахстан,46.85,75.0,78002.0,KZ,KAZ
Вилла Виктория,Мексика,19.4333,-100.0,77819.0,MX,MEX
Элизабеттаун,Соединенные Штаты,37.703,-85.877,78002.0,US,USA
Тексаркана,Соединенные Штаты,33.4487,-94.0815,77964.0,US,USA
Фрай Бартоломью© де Лас Касас,Гватемала,15.8456,-89.8658,77896.0,GT,GTM
Линку,Китай,45.2819,130.2519,77754.0,CN,CHN
Эрмоза,Филиппины,14.8333,120.5,77443.0,PH,PHL
Паленсия,Испания,42.0167,-4.5333,77090.0,ES,ESP
Аквираз,Бразилия,-3.9008,-38.3908,77717.0,BR,BRA
Вилла Каналес,Гватемала,14.4816,-90.534,77638.0,GT,GTM
Нуман,Нигерия,сен.36,ноя.67,77617.0,NG,NGA
Розендаль,Нидерланды,51.5314,апр.56,77032.0,NL,NLD
Вирсен,Германия,51.2556,июн.17,76905.0,DE,DEU
Бебедуро,Бразилия,-20.9494,-48.4792,77627.0,BR,BRA
Уэбампо,Мексика,26.6667,-109.35,77682.0,MX,MEX
Гилфорд,Великобритания,51.2365,-0.5703,77057.0,GB,GBR
КарЕ«р,Индия,окт.04,78.0833,76915.0,IN,IND
Синт-Никлас,Бельгия,51.1644,4.1392,76756.0,BE,BEL
Тре Риос,Бразилия,-22.1169,-43.2089,77432.0,BR,BRA
Тила,Мексика,17.мар,-92.4333,77554.0,MX,MEX
Санта-Каталина,Филиппины,сен.31,122.8658,77501.0,PH,PHL
Хондзе?,Япония,36.2439,139.1903,76757.0,JP,JPN
Армант,Египет,25.6167,32.5333,76457.0,EG,EGY
UnaГ,Бразилия,-16.3578,-46.9058,77565.0,BR,BRA
Марбург,Германия,50.8167,авг.67,76851.0,DE,DEU
Канкаки,Соединенные Штаты,41.1019,-87.8643,77429.0,US,USA
Текамачалько,Мексика,18.8667,-97.7167,77061.0,MX,MEX
Санта вГЄs,Бразилия,-3.6669,-45.38,77282.0,BR,BRA
Забавляющийся,Китай,39.8879,119.2314,76460.0,CN,CHN
